Name, Latitude, Longitude
London,51.5072,-0.1275
Australia,-35.3080,149.1245
Paris,48.8567,2.3508
New York,40.7127,-74.0059
Cincinnati,39.1000,-84.5167
Indian Wells,33.7186,-116.3083
Madrid,40.4000,-3.6833
Miami,25.7753,-80.2089
Monte Carlo,43.7397,7.4272
Montreal,45.5017,-73.5673
Rome,41.9000,12.5000
Shanghai ,31.2000,121.5000
Acupolo,16.8636,-99.8825
Barcelona ,41.3833,2.1833
Basel,47.5667,7.6000
Beijing,39.9167,116.3833
Dubai,25.2048,55.2708
Halle,50.7333,4.2333
Hamburg,53.5653,10.0014
Rio,-22.9068,-43.1729
Rotterdam,51.9167,4.5000
Tokyo,35.6833,139.6833
Valencia,39.4667,-0.3833
Washington,38.9047,-77.0164
Atlanta,33.7550,-84.3900
Auckland,-36.8406,174.7400
Bastad,56.4333,12.8333
Bogota,4.5981,-74.0758
Brisbane,-27.4667,153.0333
Bucharest,44.4268,26.1025
Buenos Aires,-34.6033,-58.3817
Casablanca,33.5333,-7.5833
Chennai,13.0827,80.2707
Delray,26.4592,-80.0831
Doha,25.2867,51.5333
Estoril,38.7067,-9.3978
Geneva,46.2000,6.1500
Gstaad,46.4667,7.2833
Houston,29.7604,-95.3698
Istanbul,41.0136,28.9550
Kitzbuhel,47.4464,12.3919
Kuala Lampur,3.1333,101.6833
Marseille,43.2964,5.3700
Memphis,35.1174,-89.9711
Metz,49.1203,6.1778
Montpellier,43.6119,3.8772
Moscow,55.7500,37.6167
Munich,48.1333,11.5667
Newport,41.4880,-71.3126
Nice,43.7034,7.2663
Nottingham,52.9500,-1.1333
Quito,-0.2333,-78.5167
Sao Paulo,-23.5500,-46.6333
s-Hertogenbosch,51.6833,5.3000
Shenzhen,22.5500,114.1000
St.Petersburg,27.7731,-82.6400
Stockholm,59.3294,18.0686
Stuttgart,48.7833,9.1833
Sydney,-33.8650,151.2094
Umag,45.4333,13.5167
Vienna,48.2000,16.3667
Winston Salem,36.1028,-80.2605
Zagreb,45.8167,15.9833
